Symptom,CarDiagnoses,Description,inspectionList,childWebPageList.childWebPageList.childWebPageList.problemList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.val,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? One strong click or knock",Seized Engine,A seized engine occurs when the piston(s) will no longer move in the cylinder(s). This usually happens due to excessive heat or insufficient lubrication.,"['1) Set the parking brake and shift the car into neutral.', '2) Open the hood and locate the spark plugs on the top of the engine, and the crankshaft pulley on the front of the engine.', '3) Remove the spark plugs.', '4) Place the appropriate half inch drive\xa0socket on the mounting bolt in the center of the crankshaft pulley. Try to turn the pulley clockwise with a breaker bar. If the pulley will not turn, then your engine is seized.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? One strong click or knock",Bad Starter,The starter is a high torque electrical motor that is attached to the rear of the engine. It is used to crank the engine until it can operate on its own power.,"['1) Open the vehicle ۪s hood and locate the starter. If it is easier to see and touch the starter from the bottom, you will need to secure your vehicle on jack stands to inspect the starter ۪s condition.', '2) Ask an assistant to attempt to start the vehicle (hopefully in this case you are now hearing the spinning noise and the vehicle not starting). While you are under the vehicle, knock the rubber mallet hammer on the starter housing.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Hiss - Continuous sound like air escaping",Vacuum Leak,"Vacuum is responsible for drawing air into the cylinders, it is also responsible for the operation of emissions system, braking system and cruise control system components. Vacuum is transfered through a complex system of rubber hoses and/or plastic tubes. The engine creates a great deal of heat and over time can cause the rubber and plastic hoses to dry out and leak. A vacuum leak can be elusive and take a long time to detect. Common symptoms of a vacuum leak include; vehicle idle fluctuation, hard brake pedal, and a hissing noise heard under the hood.","['1) Open the hood and locate the vacuum hoses. Some Vehicles are equipped with a vacuum hose diagram that can be found under the hood, if not a repair manual is the best way to find were all the vacuum hoses are located for your vehicle. Vacuum hoses are rubber hoses or plastic\xa0tubes that operate and control systems such as, emissions, \xa0power brakes, and cruise control. Vacuum leaks can also cause idling and drivability problems.', '2) It may be necessary to use a flashlight in order inspect possible damaged vacuum hoses. Check the vacuum hose that leads to the\xa0brake booster for damage or if it is loose.', '3) Continue to inspect for cracked or broken vacuum hoses throughout the engine compartment. Look for worn or disconnected hoses or tubes.', '4) Use a can of carburetor cleaner to spray suspecting hoses. With the vehicle running, spray the hose. If the hose has a leak it will pull the carburetor cleaner in and stabilize the idle for a brief time. If changes are heard after spraying\xa0the vacuum hose, it is necessary to replace that particular hose.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Hiss - Continuous sound like air escaping",Air Intake Leak,Most air intake boots are made of rubber. As the rubber wears it can become cracked or develop a hole. The worn out intake boot will need to be replaced at this time.,"['1) Open the hood and locate the air intake assembly. The air intake assembly is the airfilter box and the tubes that connect to it.', '2) Visually inspect the air intake assembly for cracks and \xa0loose compononets. Make sure all the gaskets are lined up correctly and any point were tubes connect are tight and sealing properly.\xa0']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Knock - Heavy, loud, repeating sound like a knock on the door",Worn Internal Engine Components,"The number one cause of engine wear is low engine oil. Engines wear over time, regular maintenance is the best way to extend the life of your engine. Regular oil changes, and using better quality engine oils will keep an engine running cleaner longer.","['1) Warm the engine. Disable the\xa0ignition\xa0and fuel delivery to the engine. For spark disabling, disconnect the coil-to-distributor wire and ground it using a spark tester. For fuel disabling, pull the fuse or relay\xa0that supplies power to the fuel pump.', '2) Remove all of the spark plugs. Screw the compression gauge into the first cylinder spark plug hole.', '3) Have an assistant crank the engine through\xa0four strokes. Record each of the compression readings,\xa0at each\xa0cylinder. You will be comparing these once you have tested all of the cylinders.', '4) Repeat the compression test for each cylinder of the engine. All cylinders should be within 5-10 psi of each other.', '5) Once you have finished all of the cylinders, check the results for low compression readings. Next perform a wet test to confirm the piston rings are not sealing properly. To do this squirt a small amount of oil into the cylinder through the spark plug hole. Allow the oil to settle for one to two minutes. Screw the compression tester back into the cylinder you poured the oil in, crank the engine through 4 strokes and record the result. If the compression is higher the most likely problem is a worn piston ring.', '6) The results of a compression test can also be used to confirm other possible issues. After performing the wet test if the compression did not go up chances are the valves are weak or open. Also comparing the results of the test if two cylinders had a low compression test and are adjoing cylinders meaning they are side by side, then most likely the head gasket has blown out inbetween the two cylinders.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Knock - Heavy, loud, repeating sound like a knock on the door",Low Engine Oil Level,"Engine oil is designed to lubricate, cool and seal internal engine components. When the engine is on, oil is constantly circulatiing. Checking and changing the engine oil regularly is an important part of maintaining a vehicle. Negelcting to change the oil periodically will shorten the life of the engine. If engine oil level is low, check for potential leaks.","['1) Start your vehicle and warm up the engine oil. Park the vehicle on a level surface and turn the engine off. Turn the engine off and wait 2 or 3 minutes to allow the oil to drain to the bottom of the oil pan.', '2) Open your hood and locate the vehicle ۪s engine oil dip stick. It is usually located on the drivers side of the engine.', '3) Pull the dipstick out and wipe the engine oil off with a shop rag.', '4) Re-install the oil dipstick into the dipstick tube until it is fully seated.', '5) Pull the oil dipstick out and check the oil\xa0level. The oil level should be between the ""min"" and ""max"" marks on the dipstick.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click",Low Engine Oil Level,"Engine oil is designed to lubricate, cool and seal internal engine components. When the engine is on, oil is constantly circulatiing. Checking and changing the engine oil regularly is an important part of maintaining a vehicle. Negelcting to change the oil periodically will shorten the life of the engine. If engine oil level is low, check for potential leaks.","['1) Start your vehicle and warm up the engine oil. Park the vehicle on a level surface and turn the engine off. Turn the engine off and wait 2 or 3 minutes to allow the oil to drain to the bottom of the oil pan.', '2) Open your hood and locate the vehicle ۪s engine oil dip stick. It is usually located on the drivers side of the engine.', '3) Pull the dipstick out and wipe the engine oil off with a shop rag.', '4) Re-install the oil dipstick into the dipstick tube until it is fully seated.', '5) Pull the oil dipstick out and check the oil\xa0level. The oil level should be between the ""min"" and ""max"" marks on the dipstick.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click",Low oil pressure,"Your vehicles oil pump is a mechanical pump that pushes the oil through the engine think of it as the heart of the engine. Low oil pressure can be caused by a failing pump, if your vehicle is not getting the right amount of oil to its moving components then major engine damage can occur. When your oil light comes on you'll want to start by checking your oil level if the level is low make sure to fill it, if the oil pressure light continues to come on bring it to a professional.","['1) Open the hood.', '2) Locate the vehicle ۪s oil pressure sensor. Check the vehicle service manual to find out the oil pressure specifications.', '3) Remove the oil pressure sensor and attach an oil pressure gauge.', '4) Run the vehicle and monitor the gauge for oil pressure. If the pressure is low there could be a problem with the\xa0 oil pump.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click",Engine valve adjustment,Valve sealing can degrade overtime from normal wear and tear. Improperly adjusted valves and carbon buildup will also require a valve job.,"['1) Open the vehicle ۪s hood.', '2) Connect the vacuum gauge to the manifold vacuum.', '3) Turn on the engine.', '4) Let the engine run at idle.', '5) Monitor the activity of the vacuum gauge needle.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Tire looks flat",Damaged Valve Stem,"Valve stems are made out of rubber and are prone to dry out and become brittle. Improperly installed valve stems can also allow air to leak out of the tire. The shrader valve may also become loose, which is a smaller valve inside the stem that holds the air pressure.","['1) Locate the valve stem on the wheel.', '2) Spray the valve stem with\xa0 soapy water, or a household cleaner.\xa0Inspect the valve stem to see if bubbles form around it.', '3) Use the saopy liquid method to identify a slow leak, if after spraying the valve stem a leak is visible, replace the valve stem.', '4) The Valve Stem may have ruptures or tears at the base, push the side of\xa0the\xa0stem and listen for a hissing sound. If the sound is heard, the stem is bad and needs to be replaced.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Tire looks flat",Punctured Tire,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.","[""1) Park your vehicle on a solid, level surface and chock the wheels on the axle that\xa0does not have\xa0the flat tire.\xa0Lift up the vehicle to inspect the tire. Refer to your vehicle owner's manual for proper lifting techniques."", '2) Always secure the vehicle with a jack stand before starting any work. Never rely on the jack itself to hold the vehicle up while working.', '3) Place the transmission in neutral (if necessary) and rotate the tire while you visually\xa0inspect the tread and sidewalls for a puncture.\xa0The\xa0most common causes of tire punctures are nails and glass.', '4) If the puncture is not apparent, fill the tire with air and spray it with soapy water to locate the leak.', '5) Mark the puncture location with chalk.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Vehicle runs hot",Broken/Missing Fan Shroud Assembly,"The fan shroud assembly directs air through the radiator to the cooling fan, helping to cool the engine. Fan shrouds are made of plastic; the repetitive heating up and cooling down of the engine compartment can cause them to crack. If the fan shroud is damaged or missing it will not direct air flow properly through the radiator. Replace the fan shroud before it can damage other components.","['1) Open the hood and locate the fan shroud, it is at the front of the vehicle mounted to the radiator.', '2) Inspect the fan shroud assembly, it should not be loose or damaged if it is it will need to be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Vehicle runs hot",Faulty Engine Cooling Fan,"The engine cooling fan pulls air across the radiator, when the engine gets hot the coolant is pushed through the radiator to be cooled by the air being pulled across it. This process keeps the engine running at a sustainable temperature. If the cooling fan breaks down the vehicle will overheat and cause serious damage.","['1) Open the hood and locate the vehicle ۪s cooling fan or fans. On older vehicles the fan will be driven by the engine and attached to the water pump. New vehicles use electric fans that are controled electronically by the engine computer.', '2) For electric cooling fans, once you have located the fan locate the electrical connector. This is located on the fan housing and you may need a screwdriver to disconnect it. Using the connector end that goes to the fan you will need to jump power to the leads either use jumper wires from the battery or the use of a powered test light. Apply power to the fan the fan should begin to spin, if the fan does not then the fan motor is not functioning and will need to be replaced. If the fan does turn on then the problem is in the electronic fan control system. Repeat the test if the vehicle has two electric cooling fans.', '3) If your vehicle has a clutch cooling fan that is driven by the motor, the most common problem is the clutch assembly no longer works properly and the fan slips, causing it to not produce enough air movement. If the fan clutch has never been replaced the best course of action is to start there.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating",Faulty Engine Cooling Fan,"The engine cooling fan pulls air across the radiator, when the engine gets hot the coolant is pushed through the radiator to be cooled by the air being pulled across it. This process keeps the engine running at a sustainable temperature. If the cooling fan breaks down the vehicle will overheat and cause serious damage.","['1) Open the hood and locate the vehicle ۪s cooling fan or fans. On older vehicles the fan will be driven by the engine and attached to the water pump. New vehicles use electric fans that are controled electronically by the engine computer.', '2) For electric cooling fans, once you have located the fan locate the electrical connector. This is located on the fan housing and you may need a screwdriver to disconnect it. Using the connector end that goes to the fan you will need to jump power to the leads either use jumper wires from the battery or the use of a powered test light. Apply power to the fan the fan should begin to spin, if the fan does not then the fan motor is not functioning and will need to be replaced. If the fan does turn on then the problem is in the electronic fan control system. Repeat the test if the vehicle has two electric cooling fans.', '3) If your vehicle has a clutch cooling fan that is driven by the motor, the most common problem is the clutch assembly no longer works properly and the fan slips, causing it to not produce enough air movement. If the fan clutch has never been replaced the best course of action is to start there.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating",Stuck Thermostat,"The thermostat is responsible for keeping the engines minimum operating temperature. The thermostat stays closed until the engine reaches a certain temperature and when it reaches that temperature it opens allowing the coolant to flow from the engine to the radiator and be cooled by the vehicles radiator and fan. If a thermostat is stuck in the closed position it can cause overheating and major engine damage. If a thermostat is stuck open the vehicles engine will not reach its optimal running temperature and over time this can cause engine sludge build up, a common problem associated with an open thermostat is the heating system not getting hot enough.","['1) Open the hood and locate the vehicle ۪s upper radiator hose. This hose goes from the radiator to the thermostat housing on the top of the engine.', '2) If the vehicle is hot allow it to cool before performing this test, if the vehicle is all ready cool start the vehicle. Using an infrared thermometer check the temperature at the upper and lower radiator hose. If you do not have an infrared thermometer you can use your hands to test the temperature of the hoses, make sure to be careful of the moving parts of the engine. After several minutes the hoses should begin to get hot, take note of the upper radiator hose. This hose should all at once begin to warm up letting you know the thermostat has opened and the hot coolant is going from the engine to the radiator to be cooled. If several minutes pass and the hose does not get hot, check the engine temperature inside the vehicle if it is climbing and beginning to over heat shut the vehicle down, the problem is the thermostat is stuck closed.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating",Low Coolant Level,"Coolant or anti freeze performs two functions for the vehicle depending on where you live. First is the coolant system keeps the engine from getting to hot and breaking down. The coolant is pushed via the vehicles water pump through coolant ducts in the engine to keep the operating temerature consistent. The other function is for colder climates, during the cold winter months the temperature can fall well below freezing, the coolant/antifreeze has to stay in a liquid state, if there was only water in the system the water would freeze and expand causing damage to the engine.","['1) Open the Vehicles hood and locate the radiator cap and/or coolant reservoir. The radiator will be located at the front of the engine compartment, the cap is a locking type cap you will need to push down and turn counter clockwise to remove it. If there is no cap at the radiator some coolant systems are fillable through the coolant reservoir.', '2) Once you have removed the radiator cap using a flashlight look down into the radiator, you should be able to see the coolant right near the top. If the coolant is low or empty in the radiator you will need to fill it, and further inspect what caused the coolant loss. If you are checking the reservoir perform the same step, checking the coolant reservoir level. Some reservoirs have a noticeable cold and hot labeled line to aid in checking the coolant level.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine missfiring, or loss of power",Worn Distributor,The distributor shaft bushings are worn from normal wear.,"['1) Open your vehicle ۪s hood.', '2) Start your vehicle.', '3) Locate source of the chirping/squealing noise.', '4) Shut off the engine and remove the distributor.', '5) Check the distributor shaft for excessive movement.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine missfiring, or loss of power",Bad Ignition Component,"The definition of this problem Carbon Tracking is when the high voltage output of your coil, finds a low voltage path through your distributor cap. The carbon build up allows the spark to travel and pass through the terminal of lowest resistance causing a misfire which leads to your rough running engine.","['1) Open the hood and locate the vehicle ۪s distributor cap.', '2) Loosen the clips that hold the cap to the distributor housing and inspect under the cap for carbon build up.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine vibration",Engine Vibration (Harmonic Balancer),"The pressure and vibrations that are put through the rubber insulator will wear the material down and eventually cause it to crack or split. Exposure to oil will also wear down the rubber and cause failure to a harmonic balancer. When worn, the harmonic balancer should be replaced immediately.","['1) Open and support your hood.', '2) Locate your harmonic balancer.', '3) Using a flashlight and mirror, inspect the harmonic balancer for signs of wear.']",,,,,,
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine vibration",Worn Engine Mounts,"Engine mounts are subject to normal wear; however, excessive torque and movement between the engine block and frame can prematurely weaken them. If one engine mount is bad, it is common for the other to be worn. Replacing both at the same time is strongly recommended.","['1) Start the engine and locate the engine mounts.', '2) Have an assistant in the vehicle, apply the parking brake, press the brake pedal with your left foot, shift the transmission into gear and lightly apply pressure onto the gas pedal.', '3) When torque is applied to the engine while in gear, visually inspect the engine mounts. Look for excessive movement in the engine mounts and listen for a knocking noise when engine torque is released. Engine mounts are designed to absorb vibration during normal engine operation.\xa0Worn engine mounts will allow the engine to shift excessively creating vibration and noise.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates",Check Engine Light,"The check engine light is an indicator that notifies the driver of a system malfunction. The ECM (On-board compurter) stores trouble codes in its memory and will trigger the ""check engine"" or ""service engine soon"" light when it surfaces. In order to determine the problem, a technician must use a Diagnostic Scan tool (Diagnostic computer) to access the trouble codes. The tool allows the technician to display all sensor values and codes to determine the best approach for repairs.","['1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate the\xa0data link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, either\xa0on the left or right side\xa0of the steering column."", '3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine.', '4) Write down all the\xa0diagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.\xa0']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates",Check Ignition Coil for Spark,"If the ignition key was left on (engine off), it can cause the coil to heat up and melt some of the internal components. This would leave a permanent open circuit and inhibit the coil from outputting a spark.","['1) Open the hood and locate the vehicle ۪s ignition coil.', '2) Connect the spark tester to the ignition coil output.', '3) Crank the engine.', '4) Follow a wiring diagram to determine if the coil is power or ground side controlled.\xa0If controlled by ground connect the test light clip to power side of battery and touch the test light to the negative side of the coil.', '5) Crank the engine and look for the test light bulb to flash.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates",Clogged Air Filter,"Clogging of your air filter can be caused by a few different factors. If the car has a lot of miles on the engine and your filter has never been replaced, then normal build up of dust and dirt is common. If you have been driving through dirty terrain such as off-roading, through smoke or even through dirty construction sites you may have an excess of this dust in the air going into your air filter.","['1) Open\xa0the hood and locate\xa0the air filter.', '2) On most vehicle vehicles the air filter is found inside an enclosed container, which is either secured with clips, nuts or screws. The container is best identified by an air duct hose leading ot it.', '3) Inspect the air filter for debris, dirt, leaves and other objects that are impeding the path of air entering the air filter.', '4) During inspection of the filter, make sure the filter is positioned and re-installed properly.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle drops and almost dies",Check Engine Light On (Idle Control Valve),"Check engine light codes can represent failures from multiple parts of the vehicle. Some codes may represent one component of your vehicle, but may really be masking a hidden problem that is shown through other components. Because of this complexity, we strongly recommend having a certified technician inspect your vehicle for what needs to be repaired. After being told what needs to be repaired you can then proceed to repair the problem yourself if you feel you are able to.","['1) Refer to your vehicle ۪s owner ۪s manual for the specific location of your OBDI or OBDII connection.', '2) Turn your key to the ON position so that the scanner can receive the code(s).', '3) Plug your scan tool into the OBD connection, turn on the scan tool, and select the appropriate steps to read the code. P-codes between P0505-P0510 are common codes for idle control valves.', '4) Refer to a vehicle specific repair guide for resistance specifications for your engines idle control valve. If the resistance is out of specifications, the idle control valve or IAC must be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle",Faulty fuel filter,"Fuel filters get dirty and clogged over time. Dirt in the tank, dirty fuel and the natural break down of the fuel lines can clog your fuel filter and obstruct the flow of fuel to your vehicle ۪s engine.","['1) Open the hood and locate the fuel filter. In vehicles with fuel injection the fuel filter could be located near the tank. To locate the fuel filter follow the fuel line from the tank to the engine until you find the fuel filter.', '2) Inspect the fuel filter to see if it is clogged.', '3) Since the fuel filter case is not see-through, you will need to remove it from the fuel line and drain the fuel from the fuel filter into a container and inspect the condition of the fuel.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle",Check Engine Light,"The check engine light is an indicator that notifies the driver of a system malfunction. The ECM (On-board compurter) stores trouble codes in its memory and will trigger the ""check engine"" or ""service engine soon"" light when it surfaces. In order to determine the problem, a technician must use a Diagnostic Scan tool (Diagnostic computer) to access the trouble codes. The tool allows the technician to display all sensor values and codes to determine the best approach for repairs.","['1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate the\xa0data link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, either\xa0on the left or right side\xa0of the steering column."", '3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine.', '4) Write down all the\xa0diagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.\xa0']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle",Vacuum leaks,"Vacuum is responsible for drawing air into the cylinders, it is also responsible for the operation of emissions system, braking system and cruise control system components. Vacuum is transfered through a complex system of rubber hoses and/or plastic tubes. The engine creates a great deal of heat and over time can cause the rubber and plastic hoses to dry out and leak. A vacuum leak can be elusive and take a long time to detect. Common symptoms of a vacuum leak include; vehicle idle fluctuation, hard brake pedal, and a hissing noise heard under the hood.","['1) Open the hood and locate the vacuum hoses. Some Vehicles are equipped with a vacuum hose diagram that can be found under the hood, if not a repair manual is the best way to find were all the vacuum hoses are located for your vehicle. Vacuum hoses are rubber hoses or plastic\xa0tubes that operate and control systems such as, emissions, \xa0power brakes, and cruise control. Vacuum leaks can also cause idling and drivability problems.', '2) It may be necessary to use a flashlight in order inspect possible damaged vacuum hoses. Check the vacuum hose that leads to the\xa0brake booster for damage or if it is loose.', '3) Continue to inspect for cracked or broken vacuum hoses throughout the engine compartment. Look for worn or disconnected hoses or tubes.', '4) Use a can of carburetor cleaner to spray suspecting hoses. With the vehicle running, spray the hose. If the hose has a leak it will pull the carburetor cleaner in and stabilize the idle for a brief time. If changes are heard after spraying\xa0the vacuum hose, it is necessary to replace that particular hose.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation",Clogged Air Filter,"Clogging of your air filter can be caused by a few different factors. If the car has a lot of miles on the engine and your filter has never been replaced, then normal build up of dust and dirt is common. If you have been driving through dirty terrain such as off-roading, through smoke or even through dirty construction sites you may have an excess of this dust in the air going into your air filter.","['1) Open\xa0the hood and locate\xa0the air filter.', '2) On most vehicle vehicles the air filter is found inside an enclosed container, which is either secured with clips, nuts or screws. The container is best identified by an air duct hose leading ot it.', '3) Inspect the air filter for debris, dirt, leaves and other objects that are impeding the path of air entering the air filter.', '4) During inspection of the filter, make sure the filter is positioned and re-installed properly.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation",Check Engine Light,"The check engine light is an indicator that notifies the driver of a system malfunction. The ECM (On-board compurter) stores trouble codes in its memory and will trigger the ""check engine"" or ""service engine soon"" light when it surfaces. In order to determine the problem, a technician must use a Diagnostic Scan tool (Diagnostic computer) to access the trouble codes. The tool allows the technician to display all sensor values and codes to determine the best approach for repairs.","['1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate the\xa0data link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, either\xa0on the left or right side\xa0of the steering column."", '3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine.', '4) Write down all the\xa0diagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.\xa0']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation",Faulty fuel filter,"Fuel filters get dirty and clogged over time. Dirt in the tank, dirty fuel and the natural break down of the fuel lines can clog your fuel filter and obstruct the flow of fuel to your vehicle ۪s engine.","['1) Open the hood and locate the fuel filter. In vehicles with fuel injection the fuel filter could be located near the tank. To locate the fuel filter follow the fuel line from the tank to the engine until you find the fuel filter.', '2) Inspect the fuel filter to see if it is clogged.', '3) Since the fuel filter case is not see-through, you will need to remove it from the fuel line and drain the fuel from the fuel filter into a container and inspect the condition of the fuel.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine",Check Ignition Coil for Spark,"If the ignition key was left on (engine off), it can cause the coil to heat up and melt some of the internal components. This would leave a permanent open circuit and inhibit the coil from outputting a spark.","['1) Open the hood and locate the vehicle ۪s ignition coil.', '2) Connect the spark tester to the ignition coil output.', '3) Crank the engine.', '4) Follow a wiring diagram to determine if the coil is power or ground side controlled.\xa0If controlled by ground connect the test light clip to power side of battery and touch the test light to the negative side of the coil.', '5) Crank the engine and look for the test light bulb to flash.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine",Fuel system cleaning,"Gas go bad overtime, certain components of gas can vaporize over time and have a negatively impact how efficiently the gas burns in your engine. Oxidization and water contamination will also contribute to the gas going bad.","['1) To inspect your fuel system, drive your vehicle to see how it performs. Your vehicle should drive smoothly, accelerate with ease, and go up and down through the speed limits easily. The mileage on your vehicle and the condition of the engine will also have an influence on how the vehicle drives.', '2) If you have a clear fuel filter, inspect the color of the fuel. If the fuel is dark, the fuel system needs to be flushed.', '3) Open the fuel fill cap and try to smell the fuel. If the level is low remove the Fuel Filter (see instructions for fuel filter replacing) and smell the fuel.\xa0If the fuel smells like varnish, the fuel is bad.\xa0', '4) You may also want to inspect the condition of the fuel lines and fuel tank. If you notice that fuel lines are cracked (allowing water/condensation to enter the fuel lines) or that the fuel tank is rusted or has cracks, you will want to replace these parts.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine",Check Engine Light,"The check engine light is an indicator that notifies the driver of a system malfunction. The ECM (On-board compurter) stores trouble codes in its memory and will trigger the ""check engine"" or ""service engine soon"" light when it surfaces. In order to determine the problem, a technician must use a Diagnostic Scan tool (Diagnostic computer) to access the trouble codes. The tool allows the technician to display all sensor values and codes to determine the best approach for repairs.","['1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate the\xa0data link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, either\xa0on the left or right side\xa0of the steering column."", '3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine.', '4) Write down all the\xa0diagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.\xa0']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Carburetor engine stalling and running rough at low RPM",Bad Carburetor,"Carburetors will wear over time due to the heat and driving habit abuse. They begin to leak, internally fail and will cause drivability problems until fixed.","['1) Locate the carburetor and remove the air cleaner assembly to gain full access to the carburetor.', '2) With the engine running at idle, inspect for fuel leaks around the seals of the carburetor.', '3) With the engine still running at idle, adjust the air and fuel mixture screws.', '4) Shut the engine off and inspect the bowl of the carburetor. Signs of carbon build up indicate a rich fuel condition typically caused by internal damage in the carburetor.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough idle",Rough Idle (Throttle Body),Dirty fuel or rich running fuel systems will cause excessive carbon build up that will eventually cause a rough running symptom. Throttle plates will not be able to close correctly and will lead to issues with the air-to-fuel mixtures that will affect the idle.,"['1) Open your hood and locate your engine ۪s throttle body.', '2) Remove the air intake duct at the throttle body.', '3) Inspect the throttle body ports for carbon build up. Throttle bore wear is also common after long periods of time and throttle body assemblies will need to be replaced if worn.']",,,,,,
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Stalling",Check Ignition Coil for Spark,"If the ignition key was left on (engine off), it can cause the coil to heat up and melt some of the internal components. This would leave a permanent open circuit and inhibit the coil from outputting a spark.","['1) Open the hood and locate the vehicle ۪s ignition coil.', '2) Connect the spark tester to the ignition coil output.', '3) Crank the engine.', '4) Follow a wiring diagram to determine if the coil is power or ground side controlled.\xa0If controlled by ground connect the test light clip to power side of battery and touch the test light to the negative side of the coil.', '5) Crank the engine and look for the test light bulb to flash.']",,,,,,
