childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.description,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.inspectionList
Tires & Wheels,Wheels,What type of problem are you having with your wheels?,Wheel feels loose or wobbles while driving,Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","1) Openthe hood and locate the top ofthesuspension strut mounts/shock towers. 2) Before starting any repairs, besure the vehicle is in park.Have an assistant push down on the fender to simulate driving over bumps. 3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage. 4) Closethe hood, then securethe vehicle on a level surface, making sure it will not roll or lean when jacked up. 5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owners manuals will have ride height specifications. The left and right side measurements should be equal. 6) Using a floor jack, lift the front ofthe vehicle. 7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle. 8) Inspect all suspension grease boots for damage and make sure the boots are full of grease. 9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full. 10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced. 11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also bean option. 12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage. 13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end. 14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment. 15) Test drive the vehicle and verify if there is suspension noise.']"
Tires & Wheels,Wheels,What type of problem are you having with your wheels?,"Cracked, bent or damaged wheel","Cracked, Bent or Damaged Wheel","Wheels are normally damaged accidently, it is important even in a minor incident, lets say hitting a curb, that you inspect the wheel for damage. A damaged wheel could cause the tire to go flat, or cause vibrations while driving.","1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up. 2) Using a floor jack, lift up the vehicle. 3) Secure the vehicle with a jack stand for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack alone to hold the vehicle up while working. 4) Visually inspect the wheel for damage,spin the wheel to check if there is any wobble know as lateral run out the tire should spin smoothly. Hold a straight edge tool parallel to the tire to help you notice if there is any bend in the wheel. The vehicle may need to be in nuetral depending on which wheel you are checking, if the wheel is not spining freely you will want to put the vehicle in nuetral, make sure you use chop blocks to keep the vehicle from sliding.']"
Tires & Wheels,Tires,What do you notice about your tires?,Tire looks flat,Damaged Valve Stem,"Valve stems are made out of rubber and are prone to dry out and become brittle. Improperly installed valve stems can also allow air to leak out of the tire. The shrader valve may also become loose, which is a smaller valve inside the stem that holds the air pressure.","1) Locate the valve stem on the wheel. 2) Spray the valve stem with soapy water, or a household cleaner.Inspect the valve stem to see if bubbles form around it. 3) Use the saopy liquid method to identify a slow leak, if after spraying the valve stem a leak is visible, replace the valve stem. 4) The Valve Stem may have ruptures or tears at the base, push the side ofthestem and listen for a hissing sound. If the sound is heard, the stem is bad and needs to be replaced.']"
Tires & Wheels,Tires,What do you notice about your tires?,Tire looks flat,Punctured Tire,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box."," 1) Park your vehicle on a solid, level surface and chock the wheels on the axle thatdoes not havethe flat tire.Lift up the vehicle to inspect the tire. Refer to your vehicle owner's manual for proper lifting techniques.  2) Always secure the vehicle with a jack stand before starting any work. Never rely on the jack itself to hold the vehicle up while working. 3) Place the transmission in neutral (if necessary) and rotate the tire while you visuallyinspect the tread and sidewalls for a puncture.Themost common causes of tire punctures are nails and glass. 4) If the puncture is not apparent, fill the tire with air and spray it with soapy water to locate the leak. 5) Mark the puncture location with chalk.']"
Tires & Wheels,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,Wheels out of Alignment,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","1) Check the vehicles tires, make sure they are the correct size and inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.', ""2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned.  3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure thedistance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal. The vehicle toe is adjusted by the tie rods and must be equal on both sides. 4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can alsobe caused when the vehicle is out of allignment.']"
Tires & Wheels,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,Unequal Front Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","1) Locate the tires valve stem and remove the valve stem cap. 2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle. 3) Compare the tire pressure reading you just got to the recommended tire pressure. This is locatedon the sidewall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.Some manufacturers also put it on themanufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tireratings, and tire pressure.']"
Lights,Brake lights,Are all of the brake lights out?,Yes,Bad Brake Light Switch,The brake pedal switch will fail from normal wear and tear. They will typically last for a long time and do not fail very often.,"1) Locate the brake pedal switch, thenturnthe ignition key to the""ON"" position. 2) Once the igntion is turned on, activate the headlight switch. 3) Step on your brake pedal and have an assistant check to see if the brake lights both illuminate.']"
Lights,Brake lights,Are all of the brake lights out?,Yes,Bad Brake Light Bulbs,"Brake light bulbs fail from regular use. It is possible for all of the brake light bulbs to fail at the same time. Before looking for a bad fuse or brake switch, it's a good idea to check for power at the brake light bulb connector. Have an assistant  turn the ignition key on and depress the brake pedal, then test the connector with a test light or simply use a new bulb to see if it works.","1) Locate the damage brake light bulb. Turn the ignition key to the ""on"" position. 2) Depress the brake pedal. 3) Have an assistant inspect your tail lights while you are depressing the brake pedal. 4) If the brake light does not come on it is necessary to replace the brake light bulb.']"
Lights,Brake lights,Are all of the brake lights out?,Yes,Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out  when exposed to extreme vibration, or heat.  When performing an electrical system  diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses."," 1) The fuse panel can be located in differentlocationsdepending onthe manufacturer, check the owners manual for exact location. If youcan't find the manual, check for the fuse panel under the dash board ondrivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment.  2) Check the back side of the fuse panel coverfora diagram of the fuses. If not use the owners manual it shoud havelabels or a diagramof the fuse panel. Pull out the fuse for the circuit you are testing. 3) Most vehicleuseblade type fuses and can be checked by simply looking through the transparent plastic. There is an internalmetal strip that melts when it overheats. Check the strip to see if it has melted.']"
Lights,Brake lights,Are all of the brake lights out?,No,Brake Light Bulb (Burned Out),Brake light bulbs may burn out over time due to normal wear and tear and the constant jarring from road vibrations; they will need to be replaced immediately.,"1) Locate the damage brake light bulb. Turn the ignition key to the ""on"" position. 2) Depress the brake pedal. 3) Have an assistant inspect your tail lights while you are depressing the brake pedal. 4) If the brake light does not come on it is necessary to replace the brake light bulb.']"
Lights,Headlights,What best describes the problem with the headlights?,One headlight is out,Bad Headlight Bulb,"Headlight bulbs burn out over time from regular use. There are many different types of headlights: incandescent, halogen, and xenon. Incandescent headlights work the same as any light in your home and use a resistor filament to produce light that can break over time. If you have halogen lights It is important when replacing them that you not touch the glass part of the light bulb, because the oils from your skin can actually shorten the life expectancy. Xenon headlights or HID headlights are gas charged bulbs that emit a more intense light; these bulbs are more expensive and last longer.","1) Open the hood and locate the headlight assembly.', ""2) Locatethe headlight selector switch found eitheron the steeringcolumn or on the driver's side dashboard console.  3) Turn the headlight selector switch to the ""ON"" position and check to see if the headlight bulbs turn on. 4) If the headlight bulbs do not turn on, proceed with the inspection. It may be necessary to gain access to the headlight bulb assemblyand inspect itfor a sufficient power supply. 5) Gain access to the headlight bulb and remove it toexpose the power source wire connector. 6) Afteraccess isgained, check for power at the power connector using a test light or Digital Volt ohm-meter. Verify that the connectoris able to recieve power when the headlight switch is applied. 7) If power is not recieved, the problem may at the switch, wiringor at the connector which will require further inspection. If the connector does recieve sufficient power, the problem is with the bulb. Replace the bulb.']"
Lights,Headlights,What best describes the problem with the headlights?,One high beam is out,Bad High Beam Bulb,"There are different types of high beam bulbs. Some bulbs are a combination headlight/ high beam with  dual filaments. Most late model vehicles have seperate high beam and headlights, which are positioned in between the two headlights, and are changed the same way as a headlight bulb.","1) Open the hood and locate the headlight assembly.', ""2) Locatethe headlight selector switch found eitheron the steeringcolumn or on the driver's side dashboard console.  3) Turn the headlight selector switch to the ""ON"" position and check to see if the headlight bulbs turn on. 4) If the headlight bulbs do not turn on, proceed with the inspection. It may be necessary to gain access to the headlight bulb assemblyand inspect itfor a sufficient power supply. 5) Gain access to the headlight bulb and remove it toexpose the power source wire connector. 6) Afteraccess isgained, check for power at the power connector using a test light or Digital Volt ohm-meter. Verify that the connectoris able to recieve power when the headlight switch is applied. 7) If power is not recieved, the problem may at the switch, wiringor at the connector which will require further inspection. If the connector does recieve sufficient power, the problem is with the bulb. Replace the bulb.']"
Lights,Headlights,What best describes the problem with the headlights?,The headlights are not pointing in the correct direction,Headlight Out of Adjustment,"Headlight assemblies can become moved out of alignment in an accident or if a new assembly is installed, but otherwise they should maintain their position.","1) Park vehicle on a level grade, facing a wall approximately 25 ft. away from the front of the vehicle. 2) Measure from the ground to the center of your headlamp lens. 3) Using the measurement you got from your headlamp height, apply a horizontal strip of tape 4-inches lower, on the wall. 4) Turn headlights on (low beams). 5) After the headlights have been turned to the ""ON"" position, inspect and measurefor proper headlight direction and that they are within specification. If not, it will be necessary to perform a headlight adjustment.']"
Lights,Turn signals,What is the problem you are having with your turn signals?,"Turn signal, is out or is flashing faster than normal",Turn Signal Bulb Out,Turn signal bulbs are a regular wear item. The bulb works the same as an incandescent bulb in your house. Manufacturers are using LED lights as running and turn signal replacements for the old incandescent bulbs. These last longer and use less electricity.,"1) Place the ignition key in the on position. 2) Activate the turn signal switch. 3) If one of the turn signal bulbs is out any additional bulbsmay flash faster, the turn signal may stay solid and not blink, or the signal may not come on at all. This is a safety mechanism the vehicle is letting you know there is a turn signal bulb malfunction. 4) Leaving the turn signal on, step outside the vehicle and check to see which bulb is not working. There is at least one turn signal bulb in the front and rear of every vehicle. Some vehicles are equipped with additional signal bulbs on the side or side view mirror of the vehicle.']"
Lights,Turn signals,What is the problem you are having with your turn signals?,None of the turn signals are working,Turn Signal Bulb Out,Turn signal bulbs are a regular wear item. The bulb works the same as an incandescent bulb in your house. Manufacturers are using LED lights as running and turn signal replacements for the old incandescent bulbs. These last longer and use less electricity.,"1) Place the ignition key in the on position. 2) Activate the turn signal switch. 3) If one of the turn signal bulbs is out any additional bulbsmay flash faster, the turn signal may stay solid and not blink, or the signal may not come on at all. This is a safety mechanism the vehicle is letting you know there is a turn signal bulb malfunction. 4) Leaving the turn signal on, step outside the vehicle and check to see which bulb is not working. There is at least one turn signal bulb in the front and rear of every vehicle. Some vehicles are equipped with additional signal bulbs on the side or side view mirror of the vehicle.']"
Lights,Turn signals,What is the problem you are having with your turn signals?,None of the turn signals are working,Turn Signal Switch Bad,Normal wear will cause the turn signal switch to fail.," 1) Locate the turn signal switch assembly, which is commonlyfound on the driver's side steering column.  2) After locating the turn signal switch, activate the switch by pulling up and down on the lever. 3) Once the turn signal switch is activated, check and inspect the function. Have an assistant check to see if all turn signal bulbs are flashing while the switch is being activated. 4) If the turn signal bulbs do not flash after the switch is activated, it will be necessary to perform a further inspection. Check the fuse and wiring leading to the switch. 5) If the wiring and fuse is fine, proceed to inspect the switch. Replace the switch if it has failed.']"
Lights,Turn signals,What is the problem you are having with your turn signals?,None of the turn signals are working,Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out  when exposed to extreme vibration, or heat.  When performing an electrical system  diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses."," 1) The fuse panel can be located in differentlocationsdepending onthe manufacturer, check the owners manual for exact location. If youcan't find the manual, check for the fuse panel under the dash board ondrivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment.  2) Check the back side of the fuse panel coverfora diagram of the fuses. If not use the owners manual it shoud havelabels or a diagramof the fuse panel. Pull out the fuse for the circuit you are testing. 3) Most vehicleuseblade type fuses and can be checked by simply looking through the transparent plastic. There is an internalmetal strip that melts when it overheats. Check the strip to see if it has melted.']"
Lights,Tail light,What is the problem you are having with your tail lights?,One tail light is out,Tail Light Bulb (Burned Out),"Tail light bulbs burn out from normal use and constant jarring from road vibrations. If the tail light bulbs are suspected to be damaged, replace them immediately.","1) Locate the tail light bulbs, then turn the ignitionkey to the ""on"" position. 2) Turn the head light switch to the ""on"" position. 3) Have an assistant stand outside of the vehicle andinspect the rear lights.The rear tail lights should come on when the headlight switch is activitated. 4) If the tail light bulbs do not come on, it will be necessary to replce the defective bulb.']"
Lights,Tail light,What is the problem you are having with your tail lights?,All the tail lights are out,Burnt out Tail Light Bulbs,"It is possible for both tail light bulbs to be out, always check for power at the tail light bulb sockets first. This will avoid alot of wasted time trying to diagnose fuses adn switches.","1) Locate the tail light bulbs, then turn the ignitionkey to the ""on"" position. 2) Turn the head light switch to the ""on"" position. 3) Have an assistant stand outside of the vehicle andinspect the rear lights.The rear tail lights should come on when the headlight switch is activitated. 4) If the tail light bulbs do not come on, it will be necessary to replce the defective bulb.']"
Lights,Tail light,What is the problem you are having with your tail lights?,All the tail lights are out,Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out  when exposed to extreme vibration, or heat.  When performing an electrical system  diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses."," 1) The fuse panel can be located in differentlocationsdepending onthe manufacturer, check the owners manual for exact location. If youcan't find the manual, check for the fuse panel under the dash board ondrivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment.  2) Check the back side of the fuse panel coverfora diagram of the fuses. If not use the owners manual it shoud havelabels or a diagramof the fuse panel. Pull out the fuse for the circuit you are testing. 3) Most vehicleuseblade type fuses and can be checked by simply looking through the transparent plastic. There is an internalmetal strip that melts when it overheats. Check the strip to see if it has melted.']"
Lights,Damaged Light Assembly,Which light is damaged?,Headlight Cover,Damaged Headlight Cover,Headlight covers typically become damaged from impact with another object,1) Locate your headlight covers. 2) Inspect the covers for damage or to determine if they are missing.']
Lights,Damaged Light Assembly,Which light is damaged?,Headlight Door,Damaged Headlight Door,Headlight doors may become damaged from accidents or incorrect installation. ,1) Locate your headlight doors. 2) Inspect the doors to see if they are damaged or missing.']
Lights,Damaged Light Assembly,Which light is damaged?,Headlight Assembly,Damaged Headlight Assembly,Headlight Assemblies are subject to normal wear and tear or become damaged from front end collisions.,1) Open the hood and locate the headlight assembly. 2) Disconnect the electrical connectors from the back of the headlight assembly. 3) Remove the headlight assembly from the headlight housing by removing the headlight mounting screws or retainer. 4) Inspect the headlight housing for damage.']
Lights,Damaged Light Assembly,Which light is damaged?,Turn Signal Assembly,Turn Signal Lens Assembly (Damaged),Vandalism and accidents are the main reasons for having to replace the turn signal light assembly.,"1) Locate your turn signal light assemblies. 2) Inspect the turn signal light assemblies for damage. 3) After inspecting the turn signal light for damage, check for proper operation. 4) If the tuen signal light appears to be inoperable, there is a good chance that theturn signalbulb has failed. If the turn signal bulb is in good shape, but inoperable, perform further inspection in the bulb connector, fuse, switch and wiring.']"
Lights,Damaged Light Assembly,Which light is damaged?,Side Marker Light,Damaged Side Marker Light Assembly,Vandalism and accidents are the main reasons for having to replace the side marker light assembly.,"1) Locate your side marker light assemblies. 2) Inspect the side marker light assemblies for damage. 3) After inspecting the side marker light for damage, check for proper operation. 4) If the side marker light appears to be inoperable, there is agood chance that the side marker bulb has failed. If the side marker bulb is in good shape, but inoperable, perform further inspection in the bulb connector, fuse, switch and wiring.']"
Lights,Damaged Light Assembly,Which light is damaged?,Cornering Light,Damaged Cornering Light,Vandalism and accidents are the main reason for replacing the cornering light assembly.,"1) Locate your cornering light assemblies. 2) Inspect the cornering light assemblies for damage. 3) Check the wiring leading to the cornering light and use a test light to check for voltage. If voltage checks fine, then proceed to inspect the bulb. 4) If the bulb appears to be burnt, it will need to be replaced.']"
Lights,Damaged Light Assembly,Which light is damaged?,Tail Light Assembly,Damaged Tail Light Assembly,Tail lights will crack from an impact with a object.,1) Locate the tail light assembly on the rear of the vehicle 2) Check for any cracks in the tail light assembly']
Lights,Damaged Light Assembly,Which light is damaged?,Fog Light,Damaged fog light assembly,Fog light assemblies are subject to normal wear and tear. They can crack and become damaged from being impacted by rocks. They will need to be replaced to ensure proper visibility during night driving or foggy conditions.,"1) Locate the fog light assembly. The most common location for the foglight assembly is found on opposite sidesof the front lower body trim of the vehicle. 2) Visually inspect the fog light assembly. 3) If the fog light appears damaged or ifit does not turn on, it may be necessary to replace.']"
Lights,Damaged Light Assembly,Which light is damaged?,Parking Light Assembly,Damaged Parking Light Assembly,Vandalism and accidents are the main reasons for having to replace the parking light assembly.,"1) Locate your parking light assemblies. 2) Inspect the parking light assemblies for damage. 3) After inspecting theparkinglight assmeblyfor damage, check for proper operation. 4) If theparking light appears to be inoperable, there is a good chance that theparkinglightbulb has failed. If the parking light bulb is in good shape, but inoperable, perform further inspection in the bulb connector, fuse, switch and wiring.']"
Transmission,All wheel drive,What is the problem you are having with your AWD?,Not working,Internal Trasnfer Case Failure,Internal damage to the AWD transfer case unit is caused by low fluid. The internal components will wear from lack of lubrication causing drivability problems. ,1) Use a jack to lift up the front of the vehicle. Every vehicle comes from the factory with a jack. To locate and properly use this jack see the owners manual. The owners manual will inform you what proper jacking locations should be used. 2) Locate the AWD transfer case. 3) Locate the oil fill plug on the AWD transfer case unit. 4) Remove the top oil fill plug. 5) Check for fluid at the top of the oil fill plug. 6) Remove the bottom drain plug and drain fluid into an oil drain pan. 7) Inspect the oil in the drain pan for metal flakes.']
Transmission,All wheel drive,What is the problem you are having with your AWD?,Not working,Low Trasfer Case Fluid,Leaks from the transfer case will cause the transfer case fluid level to drop. Transfer case leaks are caused by bad transfer case Seals or transfer case gaskets.,"1) test 9 test 2) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up. 3) Use a floor jack to lift up the front of the vehicle. 4) test 10 test 5) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working. 6) test 11 test 7) Locate the oil fill plug on the transfer case. 8) Remove the top oil fill plug. 9) Using a flashlight, check for oil at the oil ill plug. When full, the oil should be just below the top oil fill plug. 10) With the top oil fill plug still out, remove the bottom oil drain plug to drain the fluid into an oil drain pan. 11) Inspect transfer case oil for metal flakes when in the oil drain pan.']"
Transmission,4 wheel drive,What area of your 4wd are you having problems with?,Driveshaft problem,Driveshaft (Loss of Balance),Driveshafts can go bad due to damage and may lose their balancing weights creating vibrations felt in the cab.,"1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean when jacked up. 2) Using a jack, lift up the vehicle. Every vehicle comes from the factory with a jack. To locate and properly use this jack see the owners manual. The owners manual will inform you what proper jacking locations should be used. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack alone to hold the vehicle up while working. 4) Locate the vehicles driveshaft. 5) Inspect the driveshaft.']"
Transmission,4 wheel drive,What area of your 4wd are you having problems with?,Driveshaft problem,Bent Driveshaft (runout),Driveshafts can go bad due to damage and may lose their balancing weights creating vibrations felt in the cab.,"1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean when jacked up. 2) Using a jack, lift up the vehicle. Every vehicle comes from the factory with a jack. To locate and properly use this jack see the owners manual. The owners manual will inform you what proper jacking locations should be used. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack alone to hold the vehicle up while working. 4) Locate the vehicles driveshaft. 5) Inspect the driveshaft.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission has a hard upshift,Improper Transmission Fluid Level,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission has a hard upshift,Automatic Transmission Fault (Vacuum Modulator),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission has a hard upshift,Misadjusted Throttle Valve Linkage.,"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Harsh shifts (car jerks when it upshifts),Contaminated Transmission Fluid Filter,A small transmission fluid leak at the seals may be the reason the transmission fluid is low. If the transmission is leaking it is strongly recommended to replace the faulty seal rather than just top off the fluid.,1) Open the hood and locate the transmission fluid level dipstick. 2) Check the level of transmission fluid while the vehicle is running in Park to see if it is below manufacturers specifications.']
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Harsh shifts (car jerks when it upshifts),Improper Transmission Fluid Level,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Harsh engagement (Car jerks when shifted into gear),Automatic Transmission Fault (High Hydraulic Pressure),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Harsh engagement (Car jerks when shifted into gear),Automatic Transmission Fault (Valve Body Fluid Leak),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Harsh engagement (Car jerks when shifted into gear),High Engine Idle,"The check engine light is an indicator that notifies the driver of a system malfunction. The ECM (On-board compurter) stores trouble codes in its memory and will trigger the ""check engine"" or ""service engine soon"" light when it surfaces. In order to determine the problem, a technician must use a Diagnostic Scan tool (Diagnostic computer) to access the trouble codes. The tool allows the technician to display all sensor values and codes to determine the best approach for repairs.","1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate thedata link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, eitheron the left or right sideof the steering column.  3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine. 4) Write down all thediagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,There is a growling or grinding noise,Automatic Transmission Fault (Torque Converter),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,There is a growling or grinding noise,Internal Automatic Transmission Fault (Worn Planetary Gears),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
