Symptom,Car Problem
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Headlight Assembly.",Damaged Headlight Assembly
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Headlight Door.",Damaged Headlight Door
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Headlight Cover.",Damaged Headlight Cover
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Side Marker Light.",Damaged Side Marker Light Assembly
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Fog Light.",Damaged fog light assembly
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Cornering Light.",Damaged Cornering Light
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Parking Light Assembly.",Damaged Parking Light Assembly
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Reinforcement.",Damaged bumper reinforcement
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Energy Absorber.",Damaged energy absorber
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Bumper Braket or Side supports.",Damaged Bumper Bracket/Side Support
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Bumper trim.",Damaged Bumper Trim
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Front end cover.",Damaged Front End Cover
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Valance.",Replace valance
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Valance.",Repair Valance
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler). What part on the front of your vehicle looks damaged? Spoiler.",Damaged Grille
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Radiator support ( includes; core support, tie bars, splash shields). What part on your radiator support is damaged? Header panel.",Damaged Header Panel
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Radiator support ( includes; core support, tie bars, splash shields). What part on your radiator support is damaged? Radiator support.",Replace radiator support
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Radiator support ( includes; core support, tie bars, splash shields). What part on your radiator support is damaged? Cooling Fan Shroud.",Damaged Fan Shroud
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Front Door. What part of the front door is damaged? Window Run Channel.",Damaged run channel
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Front Door. What part of the front door is damaged? Window Belt Strip.",Damaged Window Belt Strip
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Fender. What part of the fender is damaged? Fender Trim.",Damaged Fender Trim
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Fender. What part of the fender is damaged? Fender.",Damaged Front Fender
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Fender. What part of the fender is damaged? Fender Liner.",Damaged fender liner
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Fender. What part of the fender is damaged? Antenna Mast.",Damaged Antenna Mast
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Fender. What part of the fender is damaged? Mud Guard/Protector.",Damaged mud flap (mud guard)
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Rear Door. What part of the rear door is damaged? Window Run Channel.",Damaged run channel
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Left Side (Drivers). What area is damaged on the left side of your vehicle? Rear Door. What part of the rear door is damaged? Window Belt Strip.",Damaged Window Belt Strip
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Wipers. When you turn on your wipers does anything happen? Yes. Are your wipers working normally except not cleaning the windshield properly? Yes.",Bad Windshield Wipers
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Wipers. When you turn on your wipers does anything happen? No. Double check and make sure nothing is happening when you turn on the wipers. Have a helper turn on the wipers while you inspect them from outside the vehicle. Listen and look closely for movement or sounds. Did you hear anything or see the wipers move? Yes.",Bad Windshield Wiper Motor
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Wipers. When you turn on your wipers does anything happen? No. Double check and make sure nothing is happening when you turn on the wipers. Have a helper turn on the wipers while you inspect them from outside the vehicle. Listen and look closely for movement or sounds. Did you hear anything or see the wipers move? No.",Blown Fuse
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Wipers. When you turn on your wipers does anything happen? No. Double check and make sure nothing is happening when you turn on the wipers. Have a helper turn on the wipers while you inspect them from outside the vehicle. Listen and look closely for movement or sounds. Did you hear anything or see the wipers move? No.",Bad Windshield Wiper Motor
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Wipers. When you turn on your wipers does anything happen? No. Double check and make sure nothing is happening when you turn on the wipers. Have a helper turn on the wipers while you inspect them from outside the vehicle. Listen and look closely for movement or sounds. Did you hear anything or see the wipers move? No.",Bad Windshield Wiper Switch
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? Multiple windows are not going up or down. What best describes your multiple window problem? The windows are working from their individual switch but not the master switch or vice versa.",Bad Power Window Master Switch
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? Multiple windows are not going up or down. What best describes your multiple window problem? All of the power windows are not going up or down.",Blown Fuse
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? Multiple windows are not going up or down. What best describes your multiple window problem? All of the power windows are not going up or down.",Bad Power Window Master Switch
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? Multiple windows are not going up or down. What best describes your multiple window problem? The two rear windows are not going up or down.",Blown Fuse
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? Multiple windows are not going up or down. What best describes your multiple window problem? The two rear windows are not going up or down.",Bad Power Window Master Switch
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? One window is not going up or down. When you push the window switch up or down can you hear the window motor inside the door? Yes.",Faulty Window Regulator
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? One window is not going up or down. When you push the window switch up or down can you hear the window motor inside the door? Yes.",Faulty Window Motor
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? One window is not going up or down. When you push the window switch up or down can you hear the window motor inside the door? No.",Bad Power Window Switch
"If you know what is wrong, start by selecting it: Electrical Accessories. Which electrical accessory are you having a problem with? Power Windows. What problem are you having with your power windows? One window is not going up or down. When you push the window switch up or down can you hear the window motor inside the door? No.",Faulty Window Motor
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Rotten eggs.",Rich Fuel Condition
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Rotten eggs.",Catalytic Converter Failure
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Mildew.",A/C vents (Foul Smell)
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Burning oil.",Engine Oil Leak (Odor)
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Excessive play - Looseness, lack of response in the steering wheel.",Power Steering Rack (Internal Wear)
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Excessive play - Looseness, lack of response in the steering wheel.",Loose/Worn Tie Rod Ends
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side.",Uneven Tire Pressure
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side.",Wheels out of Alignment
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side.",Loose or Worn Front End Component
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side.",Dragging Front Brake
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side.",Wheels out of Alignment
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side.",Unequal Front Tire Pressure
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side.",Loose or Worn Front End Component
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied.",Out-of-Round Brake Drums
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied.",Loose or Worn Wheel Bearing
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied.",Warped Brake Rotors
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Sway - Gradual movement from side to side.",Loose or Worn Suspension Parts
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Sway - Gradual movement from side to side.",Worn Out Shocks/Struts
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Shimmy - Rapid side to side movement of the front wheels.",Loose or Worn Wheel Bearing
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Shimmy - Rapid side to side movement of the front wheels.",Loose or Worn Front End Component
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly.",Corroded Battery Terminals
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly.",Bad Starter
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly.",Weak Battery
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks normally but does not start.",Bad Timing Chain/Belt
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks normally but does not start.",No Spark
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks normally but does not start.",No Fuel Pressure
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The vehicle is backfiring when trying to start.",Bad Timing Chain/Belt
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The vehicle is backfiring when trying to start.",Bad Ignition Component
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Nothing.",Bad Starter
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Nothing.",Faulty Ignition Switch
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Nothing.",Corroded Battery Terminals
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Nothing.",Dead Battery
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Repeating clicking sound: ""click, click, click"".",Corroded Battery Terminals
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Repeating clicking sound: ""click, click, click"".",Bad Starter
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? Repeating clicking sound: ""click, click, click"".",Weak Battery
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? A spinning, whinning, or gear grinding sound.",Bad Starter
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? One strong click or knock.",Seized Engine
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? One strong click or knock.",Bad Starter
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Hiss - Continuous sound like air escaping.",Vacuum Leak
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Hiss - Continuous sound like air escaping.",Air Intake Leak
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Knock - Heavy, loud, repeating sound like a knock on the door.",Worn Internal Engine Components
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Knock - Heavy, loud, repeating sound like a knock on the door.",Low Engine Oil Level
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click.",Low Engine Oil Level
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click.",Low oil pressure
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Tap - Light repetitive sound. Louder than a click.",Engine valve adjustment
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Tire looks flat.",Damaged Valve Stem
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Tire looks flat.",Punctured Tire
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Vehicle runs hot.",Broken/Missing Fan Shroud Assembly
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Vehicle runs hot.",Faulty Engine Cooling Fan
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating.",Faulty Engine Cooling Fan
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating.",Stuck Thermostat
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Overheating.",Low Coolant Level
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine missfiring, or loss of power.",Worn Distributor
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine missfiring, or loss of power.",Bad Ignition Component
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine vibration.",Engine Vibration (Harmonic Balancer)
"If you know what is wrong, start by selecting it: Engine. What is the problem with your engine? Engine vibration.",Worn Engine Mounts
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates.",Check Engine Light
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates.",Check Ignition Coil for Spark
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle fluctuates.",Clogged Air Filter
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Idle drops and almost dies.",Check Engine Light On (Idle Control Valve)
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle.",Faulty fuel filter
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle.",Check Engine Light
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? High Idle.",Vacuum leaks
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation.",Clogged Air Filter
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation.",Check Engine Light
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Hesitation.",Faulty fuel filter
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine.",Check Ignition Coil for Spark
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine.",Fuel system cleaning
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough running engine.",Check Engine Light
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Carburetor engine stalling and running rough at low RPM.",Bad Carburetor
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Rough idle.",Rough Idle (Throttle Body)
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Stalling.",Check Ignition Coil for Spark
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Stalling.",Fuel pump replacement
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Stalling.",Check Engine Light
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Ignition misfire.",Engine Tune-up
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Ignition misfire.",Fouled Spark Plug
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Ignition misfire.",Faulty Coil Over Plug
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a hard brake pedal.",Vacuum leaks
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a hard brake pedal.",Brake Booster Failure
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Binding Brake Caliper
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Loose or Worn Suspension Parts
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Uneven Tire Pressure
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Contaminated Brake Linings
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are grinding.",Worn Rear Brakes
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are grinding.",Worn Front Brakes
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Brake Pad Quality and Rotor Finish
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Worn Brake Pads
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Brake Pad Wear Indicator is Contacting Rotor
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My ABS light is on.",ABS System Fault
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Parking Brake Lever Engaged
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Faulty Parking Brake Switch
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Low Brake Fluid
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Brake Master Cylinder Internal Leak.
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Brakes not Adjusted
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Air in Brake Hydraulic System
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Out-of-Round Brake Drums
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Loose or Worn Wheel Bearing
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Warped Brake Rotors
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Damaged carpet.",Interior Floor Carpet (Damage)
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Seat belt not reatracting properly.",Seat Belt Malfunction
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Damaged dashboard.",Damaged Dashboard
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power outlet does not work.",Blown Fuse
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working.",Power Seat Switch Failure
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working.",Blown Fuse
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working.",Bad power seat motor
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Seat belt not locking.",Seat Belt Malfunction
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Rear defroster is not working.",Link Defroster grid
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Rear defroster is not working.",Blown Fuse
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No hot air when heat is on.",Clogged Heater Core
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No hot air when heat is on.",Bad Thermostat
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No hot air when heat is on.",Bad Heater Control Valve
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No cold air when A/C is on.",No Cold Air A/C Line or Hose
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No cold air when A/C is on.",No Cold Air A/C Condenser
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? No cold air when A/C is on.",No Cold Air A/C Compressor
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? The fan speeds are not working properly e.g., High works but the other speeds do not.",Blower Resistor Malfunction
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? Rear defroster is not working.",Link Defroster grid
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? Rear defroster is not working.",Blown Fuse
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? Windshield fogs up with the defroster setting on.",Leaking heater core
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls.",Dragging Front Brake
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls.",Wheels out of Alignment
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls.",Unequal Front Tire Pressure
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls.",Loose or Worn Front End Component
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes.",Tires/Wheels Out of Balance or Damaged.
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes.",Worn Wheel Hub Assembly
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes.",Loose or Worn Front End Component
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn.",Power Steering Drive Belt (Damage/Loose)
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn.",Low Power Steering Fluid
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn.",Faulty power steering pump
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts.",Uneven Tire Pressure
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts.",Wheels out of Alignment
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts.",Loose or Worn Front End Component
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning.","Worn or ""dry"" ball joint"
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning.",Axle Assembly Failure
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning.",Loose/Worn Tie Rod Ends
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel.",Power Steering Drive Belt (Damage/Loose)
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel.",Low Power Steering Fluid
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel.",Faulty power steering pump
