ID,Describing the Symptoms,assuring,diagnosing symptom,Specific Answer,Asks,Symptom,Ask1,Symptom1,Ask2,Symptom2,Description,InspectionList,Car Problem
519,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.",2) Use a jack to lift up the vehicle.,Axle Assembly Failure
520,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.",3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.,Axle Assembly Failure
521,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.",4) Remove the wheels by loosening and pulling off the lugs nuts that are holding the rims on. Find the correct size socket and large ratchet or tire iron and turn them counter clockwise. The lug nuts are the capped bolts that round the center of the wheel holding the rim to the hub.,Axle Assembly Failure
522,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.","5) Visually inspect the components behind your wheel to see if there are any signs of grease leaking. A few areas to check would be the brake caliper, the ball joints, and the CV joints and boots. Be sure to check both sides of the vehicle along with the front and rear to find the exact cause or causes for the noise.",Axle Assembly Failure
523,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.",Loose/Worn Tie Rod Ends
524,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.",2) Use a jack to raise the front of the vehicle.,Loose/Worn Tie Rod Ends
525,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.",3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.,Loose/Worn Tie Rod Ends
526,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When turning,Where do you hear the clunk?,Front Right,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","4) Firmly grasp the tie rod end, push or pull the tie rod end vertical. Feel for any looseness, the tie rod end should feel firm and snug, if the tie rod end moves to easily the tie rod should be replaced. Grinding or binding feeling could mean the tie rod end has rusted internally and should be replaced. Check the rubber boot, if it is damaged water and dirt can easily find its way into the tie rod end, and the tie rod end will wear and need to be replaced.",Loose/Worn Tie Rod Ends
527,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,1) Make sure the vehicle is parked on a solid level surface to ensure that it does not roll or lean when raised.,Worn Struts
528,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,"2) Before raising the vehicle perform a bounce test. Bounce the vehicle at each corner above the wheels and check the springing motion. If the vehicle takes too long to spring upward and appears unsteady, then the struts are bad.",Worn Struts
529,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,"3) Using a floor jack, raise up the front of the vehicle.",Worn Struts
530,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.,Worn Struts
531,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,"5) While under the vehicle, inspect the strut for leaking fluid from the shock and damage to the strut assembly.",Worn Struts
532,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",1) Open the hood and locate the top of the suspension strut mounts/shock towers.,Loose or Worn Front End Component
533,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","2) Before starting any repairs, be sure  the vehicle is in park.  Have an assistant push down on the fender to simulate driving over bumps.",Loose or Worn Front End Component
534,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.,Loose or Worn Front End Component
535,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","4) Close the hood, then secure the vehicle on a level surface, making sure it  will not roll or lean when jacked up.",Loose or Worn Front End Component
536,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owners manuals will have ride height specifications.  The left and right side measurements should be equal.",Loose or Worn Front End Component
537,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","6) Using a floor jack, lift the front of the vehicle.",Loose or Worn Front End Component
538,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.,Loose or Worn Front End Component
539,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.,Loose or Worn Front End Component
540,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.",Loose or Worn Front End Component
541,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.",Loose or Worn Front End Component
542,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be an option.",Loose or Worn Front End Component
543,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.",Loose or Worn Front End Component
544,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage. Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.",Loose or Worn Front End Component
545,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.,Loose or Worn Front End Component
546,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Front,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",15) Test drive the vehicle and verify if there is suspension noise.,Loose or Worn Front End Component
547,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",1) Open the hood and locate the top of the suspension strut mounts/shock towers.,Loose or Worn Suspension Parts
548,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","2) Before starting any repairs, be sure  the vehicle is in park.  Have an assistant push down on the fender to simulate driving over bumps.",Loose or Worn Suspension Parts
549,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.,Loose or Worn Suspension Parts
550,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","4) Close the hood, then secure the vehicle on a level surface, making sure it  will not roll or lean when jacked up.",Loose or Worn Suspension Parts
551,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owners manuals will have ride height specifications.  The left and right side measurements should be equal.",Loose or Worn Suspension Parts
552,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","6) Using a floor jack, lift the front of the vehicle.",Loose or Worn Suspension Parts
553,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.,Loose or Worn Suspension Parts
554,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.,Loose or Worn Suspension Parts
555,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.",Loose or Worn Suspension Parts
556,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.",Loose or Worn Suspension Parts
557,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be an option.",Loose or Worn Suspension Parts
558,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.",Loose or Worn Suspension Parts
559,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage. Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.",Loose or Worn Suspension Parts
560,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.,Loose or Worn Suspension Parts
561,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.",15) Test drive the vehicle and verify if there is suspension noise.,Loose or Worn Suspension Parts
562,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","1) Perform a bounce test; using a helper is best, push down on the bumper quickly using a strong effort and release repeat this three times in a row.  If the vehicle free bounces more than 1 and a half times inbetween each push, then the shocks should be replaced. Also a sure sign of bad shocks is the vehicle bottoming out, or floating over bumps. Test drive the vehicle over some speed bumps. If the front or rear feel like they are dropping to hard after crossing the speed bump or the vehicle continues to bounce or ""float"" for a few seconds then its time to replace the shocks.",Worn Out Shocks/Struts
563,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.",2) Make sure the vehicle is parked on a solid level surface.,Worn Out Shocks/Struts
564,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","3) Using a floor jack, raise up the vehicle.",Worn Out Shocks/Struts
565,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.",4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.,Worn Out Shocks/Struts
566,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,Clunk - A random thumping soun,When do you hear the clunk?,When going over bumps,Where do you hear the clunk?,Rear,,,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","5) Locate the shock absorbers, inspect them for fluid leaking down the shock. Inspect the upper and lower mounts, the shock should be firmly in place. If the rubber appears to be loose or or damaged the shocks should be replaced.",Worn Out Shocks/Struts
567,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When the engine is running,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.",1) Open the vehicles hood and locate the vehicles serpentine belt.,Loose or Worn Drive Belt
568,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When the engine is running,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","2) Inspect the ribs on the serpentine belt. Check for cracks in the rubber, fraying, or chips to the belt. Look for signs of fluids that may have spilled on the belt.",Loose or Worn Drive Belt
569,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When the engine is running,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.",Loose or Worn Drive Belt
570,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When I start the car.,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.",1) Open the vehicles hood and locate the vehicles serpentine belt.,Loose or Worn Drive Belt
571,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When I start the car.,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","2) Inspect the ribs on the serpentine belt. Check for cracks in the rubber, fraying, or chips to the belt. Look for signs of fluids that may have spilled on the belt.",Loose or Worn Drive Belt
572,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When I start the car.,,,,,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.",Loose or Worn Drive Belt
573,"If you're not sure what the problem is, start by describing the symptoms:","Hear - I hear it (i.e. a rattle, a knock, or a squeal)",What noise do you hear?,"Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When I accelerate,Where do you hear the chirp when you accelerate?,From the font wheels,,,"Wheel bearings can wear over time because of dirt, lack of lubrication, and improper adjustment. A loose or worn wheel bearing can cause noises and vibrations. It can also affect vehicle handling, braking, and tire wear.",1) Secure the vehicle on a level surface.,Wheel Bearing Failure
